Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Defaults and Dismissals,H Lee Moffit Cancer Center & Research Institute,11-2009,,10/6/2008
Defaults and Dismissals,H Lee Moffitt Cancer Center,2016006035,,7/5/2016
Defaults and Dismissals,Happy Place ADC Inc,2025016486,,5/22/2026
Defaults and Dismissals,Hawthorne Health and Rehab of Ocala,NH17211,,8/1/2016
Settlement Agreements,Healthy Children,"CI 14-1539-000, 2015-0003207",,11/9/2015
Defaults and Dismissals,Hillcrest Residential ALF,"CI 13-1039-000, 2015-0004348",,11/18/2015
Defaults and Dismissals,Hillsborough County,13-132CB,,3/20/2013
Defaults and Dismissals,Huntington Place Care & Rehabilitation Center,NH14-005G,,1/29/2016
Defaults and Dismissals,IDY Family Support Services Inc,CI 13-1747-000,,9/25/2013
Defaults and Dismissals,Indian River County,13-133CB,,3/20/2013
Defaults and Dismissals,Insignia Health Care Inc,"2011004549, 2011004552",,7/19/2011
Defaults and Dismissals,Island Lake Center,NH14-076G,,4/11/2016
Defaults and Dismissals,ISLF Deerwood Place Jacksonville LLC,NH17191,,8/9/2016
Defaults and Dismissals,Jacaranda Manor,NH17175,,6/13/2016
Defaults and Dismissals,Jacksonville Extented Care LLC,NH17055,,1/12/2016
Settlement Agreements,Jean Honel Jean-Baptiste,2015006655,15-278PH,2/26/2016
Defaults and Dismissals,Jean Marie Salien,2015006693,,5/26/2016
Defaults and Dismissals,Judith Tuffet,2015011321,,12/7/2015
Defaults and Dismissals,Kanuengnij Sornmayura,2013008282,13-430PH,10/3/2013
Settlement Agreements,Kaplan Homecare Group LLC,2010009459,,6/9/2011
Defaults and Dismissals,Kendall Healthcare Group Ltd,"CI 11-2470-000, 2015-0002417",,9/23/2015
Defaults and Dismissals,Kendall Healthcare Group Ltd,"CI 15-0247-000, 2015-0002812",,5/24/2016
Defaults and Dismissals,Key West HMA Inc,"2015-0000955, CI 15-0172-000",,6/22/2017
Defaults and Dismissals,Kindred Hospital -Bay Area Tampa,2015009858,,1/29/2016
Defaults and Dismissals,Kindred Hospital Ocala,2015009851,,1/29/2016
Recommended Orders,Lafayette Health Care Center,F0215-0272-001,15-346PH,7/5/2016
Recommended Orders,Lake Park of Madison,"F0315-0058-001, F0415-0078-001",15-445PH,7/5/2016
Defaults and Dismissals,Lake Park of Madison,NH17182,,6/22/2016
Defaults and Dismissals,Lake Wales Health Care Operations Company LLC,NH17161,,6/13/2016
Defaults and Dismissals,Las Mercedes Boarding Home,CI 12-2786-000,,8/13/2012
Defaults and Dismissals,Laurellwood Nursing Center Inc,0815-0716,,2/17/2016
Defaults and Dismissals,Laurellwood Nursing Center Inc,1115-0718,,2/17/2016
Recommended Orders,Lee Memorial Hospital,"CI 11-1456-000, CI 11-2468-000","14-4171MPI, 15-3271MPI",8/4/2016
Settlement Agreements,Lee Memorial Hospital,"CI 13-0105-000, 2015-0001968",16-3546MPI,12/1/2016
Settlement Agreements,Light of Hope Behavior Therapy Inc,2017-0008613,,7/9/2021
Defaults and Dismissals,Linda Marie Batten,2015011268,,12/7/2015
Defaults and Dismissals,Living Well ALF Corp,2017-0007734,,5/25/2018
Defaults and Dismissals,Lori B Bryant,2016-0006904,17-049PH,7/26/2017
